time,smaller,larger,outer,inner,updates
3.481,112,11109,11109,0,0
1.017,112,1992,1992,0,0
3.404,92,38676,38676,92,83
0.362,92,1968,1968,24,24
3.421,92,11109,11109,0,0
1.014,92,1992,1992,0,0
3.371,102,38676,38676,78,74
0.306,102,1968,1968,0,0
3.548,102,11109,11109,49,49
1.032,102,1992,1992,3,3
0.643,3,7269,5437,18,18
3.411,62,38676,38676,245,243
0.306,62,1974,1974,0,0
3.455,62,11109,11109,5,5
1.027,62,1992,1992,0,0
3.419,240,38676,38676,444,239
0.323,240,1974,1974,48,0
3.491,240,11109,11109,24,24
1.022,240,1992,1992,0,0
5.078,206,38676,38676,275,245
0.315,206,1974,1974,0,0
3.612,206,11109,11109,0,0
1.03,206,1992,1992,0,0
3.471,197,38676,38676,162,147
0.317,197,1974,1974,0,0
3.715,197,11109,11109,69,69
1.071,197,1992,1992,12,12
0.649,12,7367,5502,51,0
3.417,129,38676,38676,159,132
0.314,129,1974,1974,0,0
3.644,129,11109,11109,27,27
1.015,129,1992,1992,3,3
0.623,3,7394,5514,12,0
3.387,132,38676,38676,123,98
0.332,132,1974,1974,33,9
3.705,132,11109,11109,27,27
1.027,132,1992,1992,3,3
0.635,3,7421,5523,18,0
3.405,104,38676,38676,164,137
0.345,104,1974,1974,90,90
5.503,104,11109,11109,99,99
1.046,104,1992,1992,18,18
0.625,18,7520,5571,45,0
3.387,140,38676,38676,123,96
0.39,140,1974,1974,387,108
3.672,140,11109,11109,6,6
1.052,140,1992,1992,24,24
0.625,21,7526,5577,0,0
3.406,105,38676,38676,87,63
0.393,105,1974,1974,198,117
3.652,105,11109,11109,12,12
1.03,105,1992,1992,6,6
0.625,6,7538,5589,0,0
3.404,177,38676,38676,156,117
0.379,177,1974,1974,168,90
3.675,177,11109,11109,12,9
1.04,177,1992,1992,12,9
0.629,6,7547,5598,12,0
3.426,201,38676,38676,225,99
0.336,201,1974,1974,171,0
3.69,201,11109,11109,27,24
1.079,201,1992,1992,33,27
0.658,27,7571,5616,159,0
3.358,93,38676,38676,96,72
0.319,93,1974,1974,39,0
3.635,93,11109,11109,24,24
1.01,93,1992,1992,3,0
3.332,72,38676,38676,57,39
0.316,72,1974,1974,0,0
3.627,72,11109,11109,6,6
1.011,72,1992,1992,0,0
3.378,39,38676,38676,87,51
0.314,39,1974,1974,51,0
3.635,39,11109,11109,15,15
1.024,39,1992,1992,3,3
0.639,3,7616,5661,24,0
3.369,51,38676,38676,51,39
0.304,51,1974,1974,0,0
3.657,51,11109,11109,12,12
1.025,51,1992,1992,3,3
0.645,3,7628,5673,24,0
3.31,39,38676,38676,45,12
0.313,39,1974,1974,0,0
3.649,39,11109,11109,12,12
1.002,39,1992,1992,0,0
3.316,12,38676,38676,9,9
0.302,12,1974,1974,0,0
16.909,12,11109,11109,0,0
1.006,12,1992,1992,0,0
6.581,9,38676,38676,39,27
0.313,9,1974,1974,24,0
3.597,9,11109,11109,75,75
1.01,9,1992,1992,3,3
0.642,3,7715,5739,48,0
3.305,27,38676,38676,27,24
0.308,27,1974,1974,0,0
3.443,27,11109,11109,0,0
1.005,27,1992,1992,0,0
3.258,24,38676,38676,18,6
0.314,24,1974,1974,0,0
3.425,24,11109,11109,0,0
1.035,24,1992,1992,3,3
0.629,3,7715,5739,0,0
3.264,6,38676,38676,6,6
0.306,6,1974,1974,0,0
3.466,6,11109,11109,0,0
1.013,6,1992,1992,0,0
3.265,6,38676,38676,21,12
0.305,6,1974,1974,0,0
3.481,6,11109,11109,39,39
1.017,6,1992,1992,3,3
0.651,3,7754,5754,63,0
3.251,12,38676,38676,12,12
0.305,12,1974,1974,0,0
3.475,12,11109,11109,0,0
